,distance,pref_speed
0,177715.4794621207,100.9652397310567
72,155008.61498432016,98.68430749215729
71,175527.3219283074,100.0731609641562
70,172596.49680490803,101.59524840245464
69,172663.71718459064,99.64335859229762
68,166741.33730585562,99.6891686529304
67,175879.46196769696,103.38623098384768
66,137166.71467674285,98.48585733837317
65,167085.04710643418,100.86502355321835
64,177778.726902739,100.25936345137029
63,167459.38748435146,98.45919374217652
62,165233.0574447442,101.88702872236944
61,172849.8316566846,100.62991582834175
60,166568.02776437526,98.63951388218716
59,171616.32592145147,99.50316296072658
58,168766.29730330993,99.04914865165578
57,172450.5428665525,98.58627143327729
56,168224.4703662932,100.79723518314621
55,157479.79890663305,98.91739945331243
54,163159.2833752421,100.19964168762203
53,167775.91475813033,100.07895737906186
52,166367.8955017123,99.48444775085741
73,165903.39129374843,98.93119564687628
75,172867.868433393,101.75643421669646
76,171124.45626793857,100.36472813396868
77,149605.85330685737,102.5624266534285
99,160093.37257697363,100.39968628848747
98,146041.71731452513,103.35985865726317
97,169378.14444769578,96.92807222385017
96,146770.64959198184,100.47332479598902
95,164246.35792845947,100.75717896423137
94,178806.7624105292,98.15238120526875
93,133135.95300501693,99.62297650250974
92,170318.54837191975,99.18277418596111
91,162507.02788766584,98.95801394383203
90,172939.80761465235,100.21190380732199
51,157531.94822746186,101.30097411372903
89,176971.9680779885,98.34498403899204
87,161352.15312337078,101.76807656168837
86,168799.2747224503,100.69563736122487
85,158853.49921557095,98.18174960778441
84,153127.97980171896,100.74298990085917
83,166252.3726071822,98.11818630359313
82,175354.65805095644,99.44132902547591
81,145741.98957205002,100.11999478602587
80,172617.85642587993,96.99242821293954
79,158774.1717436791,100.59908587184125
78,163562.11580397424,101.6645579019865
88,177584.41501919852,98.47970750959821
50,171059.18543317658,100.43759271658907
74,138346.54210807805,100.75477105403888
48,165372.80374548168,98.84740187273923
22,157657.3916869293,101.07869584346913
21,167313.67705243,99.05333852621382
20,161896.13998943949,100.79806999471829
19,175284.4448623489,99.38372243117787
18,168440.56313748544,99.59178156874378
17,163420.64960865755,97.27982480432637
16,162904.44314221165,97.45322157110414
15,175064.19141632653,97.60309570816466
14,165451.89717038514,101.24294858519646
12,170782.04353054814,100.03152176527354
23,157286.35358462977,101.3871767923179
11,176792.22762951322,98.12811381475905
9,169755.99237815477,99.08949618907522
8,172128.36308697946,97.91918154349051
7,163464.66292940357,97.3848314646993
6,168749.9111879235,101.03845559396356
5,172017.54013745542,101.26977006872826
4,157657.60097515892,102.10980048757617
3,171201.63008745466,98.97031504372893
2,162893.20536326434,103.16310268163258
1,173405.83468400463,100.79091734199878
49,170381.40756486446,99.50820378243186
10,157149.9223868573,101.60196119342463
24,171471.6960452077,98.3038480226037
13,173918.8497819364,99.90142489096992
47,174593.1754294238,99.67058771471227
25,169183.46208331845,101.02473104165698
46,153862.50955214602,99.25425477607253
45,154788.962862547,99.07648143127285
44,165922.34483058655,99.5641724152904
43,156908.1199001394,102.4935599500711
42,167368.71775074283,100.96835887537567
41,178268.96714908743,99.18598357454572
39,162707.59192509306,98.04829596254692
38,162554.93276169305,100.91496638084854
37,175029.66710643435,98.91183355321618
36,168957.7520014237,102.35237600070855
40,166230.3959594113,102.13469797970852
26,171106.806996772,102.23390349838249
34,174270.79000849242,100.49539500424714
33,175019.21675597096,99.99410837798725
32,178741.53123696186,102.26226561847844
31,173956.12982330233,100.00806491165255
30,161263.37873265904,100.84218936633097
29,165002.1525632417,100.12557628162146
28,181437.07665860877,97.01303832930242
27,171324.7710398755,98.93438551993331
35,175532.2099030482,99.68410495152136
165,157994.9311221506,107.1469655610755
166,166017.57912424655,105.82778956212368
167,166629.63458173882,95.1808172908685
168,160595.6329210192,91.23581646050742
173,158229.96374287806,94.55848187143687
170,171234.99770474032,100.70449885236921
171,147813.9886493465,98.37549432467402
172,169484.55177657536,102.41327588828844
164,167925.9648389389,98.23948241947042
