,Speeds,Slow_cars,Min_speed
0,80.82786807663551,0.7,41.99350396644556
1,80.76786807663551,0.7,41.12826136756598
2,80.64786807663552,0.71,39.12826136756598
3,80.51786807663551,0.71,37.12826136756598
4,80.66786807663551,0.68,35.12826136756598
5,80.52786807663551,0.66,33.12826136756598
6,80.64786807663552,0.7,31.128261367565983
7,80.54786807663551,0.68,36.12826136756598
8,80.85786807663551,0.69,34.12826136756598
9,80.72786807663552,0.68,34.8517473131259
10,80.61786807663552,0.67,32.8517473131259
11,80.54786807663551,0.66,34.859827823388756
12,80.33786807663552,0.71,35.8517473131259
13,80.04786807663551,0.71,33.8517473131259
14,80.03786807663552,0.72,37.790680115776155
15,79.96786807663551,0.73,35.790680115776155
16,80.39786807663552,0.73,33.790680115776155
17,80.29786807663551,0.72,31.870729578083612
18,80.28786807663552,0.73,29.870729578083612
19,80.58786807663552,0.71,27.870729578083612
20,80.48786807663551,0.72,25.870729578083612
21,80.65786807663551,0.72,23.870729578083612
22,81.13786807663551,0.71,27.984760627038227
23,80.96786807663551,0.76,32.98476062703823
24,81.06786807663552,0.73,31.870729578083612
25,80.96786807663551,0.74,34.568879836916366
26,81.39786807663552,0.7,35.8517473131259
27,81.30786807663551,0.73,37.568879836916366
28,81.89786807663552,0.71,35.568879836916366
29,82.08786807663552,0.7,35.95512666317511
30,81.71786807663551,0.72,33.95512666317511
31,81.64786807663552,0.74,31.955126663175108
32,81.80786807663551,0.75,36.95512666317511
33,81.83786807663552,0.75,34.95512666317511
34,81.98786807663551,0.74,39.56743389933018
35,82.22786807663552,0.7,37.95512666317511
36,82.12786807663551,0.71,41.93559098957955
37,82.01786807663551,0.74,39.93559098957955
38,82.10786807663551,0.7,37.93559098957955
39,81.85786807663551,0.74,37.38596155900929
40,81.90786807663551,0.75,35.8737372343049
41,81.72786807663552,0.77,33.8737372343049
42,81.77786807663551,0.75,31.873737234304897
43,81.76786807663551,0.74,29.873737234304897
44,81.58786807663552,0.74,33.91487892447765
