,Speeds,Slow_cars,Min_speed
0,62.94325141550819,0.95,9.154368773448965
1,62.99825141550819,0.945,14.154368773448965
2,63.143251415508196,0.95,16.91328001794983
3,62.903251415508194,0.96,17.154368773448965
4,62.893251415508196,0.955,17.451404376278575
5,63.20325141550819,0.95,18.9597125448672
6,63.393251415508196,0.95,17.811573183806487
7,63.35825141550819,0.955,15.811573183806487
8,63.433251415508195,0.96,13.811573183806487
9,63.76325141550819,0.95,18.811573183806487
10,63.71825141550819,0.955,18.76738588458238
11,63.51325141550819,0.96,16.76738588458238
12,63.55325141550819,0.975,19.811573183806487
13,63.53825141550819,0.97,17.811573183806487
14,63.4082514155082,0.965,16.282209354034393
15,63.393251415508196,0.965,14.282209354034393
16,63.403251415508194,0.97,17.37447620503474
17,63.49825141550819,0.985,15.374476205034739
18,63.78825141550819,0.98,13.374476205034739
19,63.7282514155082,0.975,11.374476205034739
20,64.03325141550819,0.975,9.374476205034739
21,64.0882514155082,0.97,14.374476205034739
22,64.22325141550819,0.96,12.374476205034739
23,64.0532514155082,0.965,11.367148837293911
24,64.0432514155082,0.96,15.251839295306908
25,64.2582514155082,0.965,13.251839295306908
26,64.20825141550819,0.975,15.392603937270593
27,64.20325141550819,0.975,13.392603937270593
28,64.31325141550819,0.97,11.392603937270593
29,64.4282514155082,0.96,9.542777798098484
30,64.36325141550819,0.965,14.542777798098484
31,64.4282514155082,0.97,17.54878364106557
32,64.51825141550819,0.975,20.251839295306908
33,64.48825141550819,0.98,18.251839295306908
34,64.2932514155082,0.995,16.50189172472065
35,64.5132514155082,0.985,14.50189172472065
36,64.8082514155082,0.985,19.50189172472065
37,64.9032514155082,0.99,24.50189172472065
38,64.93825141550819,0.995,22.50189172472065
39,65.04825141550819,0.995,20.9597125448672
40,64.9332514155082,0.985,18.9597125448672
41,65.0132514155082,0.985,16.9597125448672
42,65.37825141550819,0.995,18.88374864459834
43,65.4782514155082,0.99,16.88374864459834
44,65.67325141550819,0.99,14.883748644598342
45,65.6182514155082,1.0,19.88374864459834
46,65.67325141550819,0.99,17.88374864459834
47,65.64325141550819,0.995,22.88374864459834
48,65.57825141550819,0.995,20.88374864459834
49,65.7582514155082,0.995,25.88374864459834
50,65.5732514155082,0.995,23.88374864459834
51,65.6482514155082,1.0,21.88374864459834
52,65.8882514155082,1.0,24.677263401338365
53,66.1382514155082,1.0,22.677263401338365
54,66.23825141550819,1.0,20.677263401338365
55,66.01825141550819,0.995,24.968712161025906
56,65.96825141550819,1.0,22.968712161025906
57,65.85825141550819,1.0,20.968712161025906
58,65.8032514155082,0.995,18.968712161025906
59,65.6982514155082,1.0,16.968712161025906
60,65.95825141550819,1.0,15.7844301024561
61,66.35825141550819,0.995,19.817616276408103
62,66.3682514155082,0.995,21.925041425695383
63,66.5132514155082,0.99,19.925041425695383
64,66.5082514155082,0.99,24.925041425695383
65,66.5282514155082,0.985,22.925041425695383
66,66.51825141550819,0.99,26.392603937270593
67,66.39325141550819,0.995,28.968712161025906
68,66.0282514155082,0.995,27.7844301024561
69,65.8832514155082,0.985,25.7844301024561
70,65.9432514155082,0.985,23.7844301024561
71,65.87825141550819,0.985,27.959637403838997
72,65.83325141550819,0.985,28.542777798098484
73,65.84825141550819,0.98,26.542777798098484
74,65.70325141550819,0.985,24.542777798098484
75,65.7932514155082,0.98,22.542777798098484
76,65.7432514155082,0.985,20.88374864459834
77,65.65825141550819,0.98,18.88374864459834
78,65.6632514155082,0.975,20.224336502393314
79,65.83325141550819,0.97,21.542777798098484
80,65.60825141550819,0.98,21.798226753631837
81,65.70825141550819,0.98,20.86026684413723
82,65.65825141550819,0.985,21.76738588458238
83,65.40825141550819,0.985,19.76738588458238
84,65.3682514155082,0.965,17.76738588458238
85,65.4182514155082,0.98,20.224336502393314
86,65.34825141550819,0.99,18.224336502393314
87,65.3082514155082,0.99,20.925041425695383
88,65.1482514155082,0.985,18.925041425695383
89,64.8732514155082,0.98,19.224336502393314
90,64.5082514155082,0.98,17.224336502393314
91,64.3382514155082,0.97,15.224336502393314
92,64.35825141550819,0.975,20.224336502393314
93,64.1932514155082,0.985,24.37447620503474
94,64.4032514155082,0.985,24.677263401338365
95,64.3082514155082,0.98,22.677263401338365
96,64.5432514155082,0.985,20.677263401338365
97,64.56325141550819,0.985,18.677263401338365
98,64.6232514155082,0.995,16.677263401338365
99,64.71825141550819,0.99,14.677263401338365
100,64.73825141550819,0.98,19.677263401338365
101,64.8082514155082,1.0,18.97408652433697
102,65.45825141550819,1.0,17.392603937270593
103,65.60825141550819,0.995,15.392603937270593
104,65.73825141550819,0.995,13.392603937270593
105,66.1982514155082,0.995,15.968712161025906
106,66.26325141550821,0.995,20.968712161025906
107,66.4082514155082,1.0,20.97408652433697
108,66.6682514155082,1.0,22.977687837542163
109,66.8682514155082,1.0,20.977687837542163
110,67.20825141550819,1.0,25.977687837542163
111,67.5532514155082,0.995,25.154368773448965
112,67.6782514155082,1.0,28.977687837542163
113,67.9882514155082,0.99,28.74742003827575
114,68.0882514155082,1.0,31.60945730182624
115,68.1732514155082,1.0,29.60945730182624
116,68.2732514155082,1.0,27.60945730182624
117,68.1982514155082,1.0,25.60945730182624
118,68.2182514155082,1.0,25.74742003827575
119,68.3182514155082,1.0,25.91331638864432
120,68.27825141550821,1.0,28.964013231948684
121,68.51325141550821,0.995,26.964013231948684
122,68.4832514155082,1.0,24.964013231948684
123,68.2332514155082,1.0,22.964013231948684
124,68.12325141550821,1.0,20.964013231948684
125,68.01325141550821,1.0,25.688755973730764
126,68.0082514155082,1.0,23.688755973730764
127,67.9682514155082,1.0,26.60945730182624
128,67.8582514155082,1.0,24.60945730182624
129,68.1332514155082,1.0,26.91331638864432
130,67.8482514155082,1.0,24.91331638864432
131,67.5632514155082,1.0,22.91331638864432
132,67.1032514155082,1.0,24.112564670711706
133,66.9582514155082,1.0,22.112564670711706
134,66.7782514155082,1.0,27.112564670711706
135,66.70325141550819,1.0,25.967720291255077
136,66.34825141550819,1.0,23.967720291255077
137,66.1682514155082,1.0,21.967720291255077
138,66.08325141550819,0.99,19.967720291255077
139,65.8882514155082,1.0,24.811573183806487
140,65.81325141550819,1.0,24.26143798109895
141,65.84325141550819,1.0,25.098249710338862
142,65.6532514155082,0.995,23.098249710338862
143,65.43825141550819,0.985,21.098249710338862
144,65.2782514155082,0.99,19.098249710338862
145,65.08325141550819,0.99,22.91331638864432
146,65.1682514155082,0.98,20.91331638864432
147,65.1382514155082,0.97,25.91331638864432
148,64.82825141550819,0.98,24.248476052220965
149,64.5082514155082,0.98,22.257620432068236
150,64.59325141550819,0.975,27.257620432068236
151,64.2582514155082,0.965,26.098249710338862
152,63.76325141550819,0.975,27.282209354034393
153,63.23325141550819,0.975,25.74742003827575
154,63.128251415508196,0.97,26.040030447164767
155,62.63825141550819,0.975,24.040030447164767
156,62.26325141550819,0.975,22.040030447164767
157,62.06825141550819,0.965,20.040030447164767
158,61.53825141550819,0.965,18.339493810572606
159,61.253251415508196,0.97,16.339493810572606
160,60.80325141550819,0.97,14.339493810572606
161,60.95325141550819,0.97,19.339493810572606
162,60.70325141550819,0.97,18.53627378806867
163,60.75825141550819,0.97,19.75518607808627
164,60.518251415508196,0.97,17.75518607808627
165,60.293251415508195,0.97,15.755186078086268
166,60.208251415508194,0.975,13.755186078086268
167,60.07825141550819,0.975,18.75518607808627
168,60.20325141550819,0.97,16.75518607808627
169,60.17325141550819,0.965,14.755186078086268
170,60.49325141550819,0.965,12.755186078086268
171,60.49825141550819,0.955,14.078680241512743
172,60.573251415508196,0.95,16.28449760167392
173,60.058251415508195,0.955,14.28449760167392
174,59.89825141550819,0.955,12.28449760167392
175,59.653251415508194,0.965,15.817616276408103
176,59.528251415508194,0.965,13.817616276408103
177,59.56825141550819,0.95,11.817616276408103
178,59.66325141550819,0.955,10.76112495515703
179,59.958251415508194,0.965,10.913316388644319
180,60.2282514155082,0.955,11.65923586020682
181,60.30325141550819,0.945,9.65923586020682
182,60.29825141550819,0.96,9.76112495515703
183,60.308251415508195,0.955,10.925041425695383
184,60.28825141550819,0.945,8.925041425695383
185,60.26325141550819,0.935,9.817616276408103
186,60.503251415508196,0.92,11.925041425695383
187,60.2832514155082,0.935,9.925041425695383
188,60.30325141550819,0.94,7.925041425695383
189,60.31825141550819,0.935,5.925041425695383
190,60.42325141550819,0.955,3.925041425695383
191,60.308251415508195,0.96,1.9250414256953832
192,60.56325141550819,0.955,6.925041425695383
193,60.628251415508196,0.96,11.925041425695383
194,60.808251415508195,0.955,11.65923586020682
195,61.093251415508206,0.96,9.65923586020682
196,61.228251415508204,0.945,7.65923586020682
197,61.398251415508206,0.95,11.36410163368572
198,61.298251415508204,0.95,9.36410163368572
199,61.048251415508204,0.95,7.364101633685721
200,60.8582514155082,0.94,11.05716511532394
201,60.868251415508205,0.945,9.05716511532394
202,60.793251415508195,0.945,7.05716511532394
203,60.75825141550819,0.94,5.05716511532394
204,60.613251415508195,0.94,7.117434709163234
205,60.49825141550819,0.935,5.117434709163234
206,60.558251415508195,0.935,9.817616276408103
207,60.573251415508196,0.945,8.117434709163234
208,60.55325141550819,0.94,6.117434709163234
209,60.3532514155082,0.925,4.117434709163234
210,60.24325141550819,0.935,5.067367548763826
211,60.083251415508194,0.935,3.0673675487638263
212,60.073251415508196,0.94,8.067367548763826
213,60.38325141550819,0.94,7.536273788068669
214,60.19325141550819,0.935,5.536273788068669
215,60.52325141550819,0.935,7.7673858845823815
216,60.778251415508194,0.945,5.7673858845823815
217,61.0332514155082,0.935,8.464003839228752
218,61.05325141550819,0.945,12.374476205034739
219,61.223251415508194,0.94,11.382169455361378
220,61.46825141550819,0.94,9.382169455361378
221,61.81825141550819,0.955,8.117434709163234
222,61.96825141550819,0.96,11.374476205034739
223,62.37325141550819,0.965,9.374476205034739
224,62.42325141550819,0.965,14.374476205034739
225,62.418251415508195,0.975,13.058206871708535
226,62.543251415508195,0.98,11.058206871708535
227,62.823251415508196,0.985,16.058206871708535
228,63.003251415508196,0.98,14.058206871708535
229,63.348251415508194,0.99,12.058206871708535
230,63.73325141550819,0.995,10.058206871708535
231,64.1782514155082,0.995,8.058206871708535
232,64.2432514155082,0.99,8.28449760167392
233,64.4482514155082,0.995,6.28449760167392
234,64.6632514155082,1.0,11.28449760167392
235,64.7582514155082,1.0,14.382169455361378
236,65.2282514155082,0.99,16.339493810572606
237,65.58325141550819,1.0,14.339493810572606
238,65.87825141550819,0.995,15.529349168389828
239,66.25325141550819,0.985,13.967720291255077
240,66.33325141550819,1.0,11.967720291255077
241,66.5732514155082,1.0,13.339493810572606
242,66.6032514155082,1.0,14.967720291255077
243,66.7382514155082,1.0,16.339493810572606
244,66.5582514155082,1.0,18.688755973730764
245,66.4482514155082,1.0,16.688755973730764
246,66.53325141550819,1.0,16.392603937270593
247,66.14325141550819,1.0,14.392603937270593
248,65.6382514155082,1.0,12.392603937270593
249,65.7732514155082,1.0,10.392603937270593
250,65.73325141550819,1.0,8.392603937270593
251,65.89325141550819,0.995,13.392603937270593
252,66.00325141550819,1.0,17.358284324136378
253,66.1532514155082,1.0,16.392603937270593
254,66.0382514155082,1.0,18.532116457045234
255,66.0682514155082,1.0,16.532116457045234
256,66.06325141550819,1.0,16.358284324136378
257,66.3032514155082,1.0,17.802437101034883
258,66.2282514155082,1.0,16.081380619747705
259,66.3832514155082,1.0,15.967720291255077
260,66.3082514155082,1.0,13.967720291255077
261,66.5132514155082,1.0,18.529349168389828
262,66.3682514155082,1.0,16.529349168389828
263,66.23825141550819,0.995,19.802437101034883
264,66.1032514155082,1.0,17.802437101034883
265,65.96825141550819,0.995,15.802437101034883
266,65.79825141550819,0.99,13.802437101034883
267,65.7282514155082,0.995,14.415325282250478
268,65.54325141550821,0.995,14.392603937270593
269,65.1632514155082,1.0,12.392603937270593
270,65.1032514155082,1.0,10.392603937270593
271,65.40825141550819,0.995,13.154368773448965
272,65.3082514155082,0.995,14.27999755624299
273,65.2532514155082,0.995,12.27999755624299
274,65.5382514155082,1.0,13.967720291255077
275,65.82825141550819,1.0,11.967720291255077
276,65.8832514155082,0.995,16.967720291255077
277,66.0982514155082,1.0,16.76738588458238
278,66.21825141550819,0.995,14.767385884582382
279,66.4482514155082,0.995,12.767385884582382
280,66.6632514155082,0.995,17.76738588458238
281,67.01325141550821,1.0,15.767385884582382
282,66.9732514155082,1.0,20.76738588458238
283,67.2332514155082,1.0,22.86026684413723
284,67.2982514155082,1.0,20.86026684413723
285,67.8132514155082,0.995,19.095716228572215
286,67.98325141550819,0.995,17.095716228572215
287,67.95325141550819,0.995,15.095716228572215
288,67.84325141550819,1.0,13.095716228572215
289,67.8182514155082,0.995,18.095716228572215
290,67.66825141550821,0.995,16.095716228572215
291,67.70825141550819,0.995,16.358284324136378
292,67.5382514155082,1.0,14.358284324136378
293,67.39325141550819,1.0,12.358284324136378
294,67.34825141550819,1.0,17.358284324136378
295,67.37825141550819,1.0,22.358284324136378
296,67.4282514155082,1.0,22.258959625360518
297,67.5532514155082,0.995,23.529349168389828
298,67.45325141550819,1.0,21.529349168389828
299,67.1932514155082,1.0,19.529349168389828
300,67.2582514155082,1.0,21.067367548763826
301,67.79825141550819,1.0,22.529349168389828
302,67.82825141550819,1.0,22.97408652433697
303,67.6482514155082,1.0,20.97408652433697
304,67.51825141550819,0.995,18.97408652433697
305,67.2432514155082,0.99,21.529349168389828
306,67.04825141550819,0.995,19.529349168389828
307,67.0082514155082,0.99,24.529349168389828
308,66.91825141550821,0.995,22.529349168389828
309,66.6032514155082,1.0,20.529349168389828
310,66.66825141550821,1.0,21.88374864459834
311,66.5782514155082,0.995,19.88374864459834
312,66.5932514155082,0.99,22.154368773448965
313,66.2932514155082,0.99,20.154368773448965
314,66.1632514155082,0.995,20.88374864459834
315,66.2732514155082,1.0,23.154368773448965
316,66.54825141550819,0.995,21.154368773448965
317,66.4432514155082,0.99,22.05716511532394
318,66.5132514155082,0.995,20.05716511532394
319,66.6482514155082,0.995,24.88374864459834
320,66.4932514155082,1.0,22.88374864459834
321,66.3032514155082,0.995,20.88374864459834
322,66.15825141550819,1.0,19.067367548763826
323,66.34825141550819,0.99,18.91328001794983
324,66.04825141550819,0.995,18.967720291255077
325,65.85825141550819,0.985,16.967720291255077
326,65.5882514155082,0.985,19.91328001794983
327,65.36325141550819,0.99,17.91328001794983
328,65.11325141550819,0.98,15.91328001794983
329,64.97325141550819,0.985,20.802437101034883
330,64.9482514155082,0.985,18.802437101034883
331,64.95325141550819,0.99,16.802437101034883
