,max_speed,Run,Avg Speed
0,90,0,78.18714234249543
1,90,1,75.62715936810217
2,90,2,74.29632641763223
3,90,3,78.83621052612546
4,90,4,78.98041160809852
5,95,5,79.71521232074744
6,95,6,80.64002324351821
7,95,7,80.66461265651733
8,95,8,81.74791569255196
9,95,9,83.79152531874239
10,100,10,87.06013393257166
11,100,11,83.37573273862672
12,100,12,85.0622710965159
13,100,13,87.91250941279343
14,100,14,86.8825094462069
15,105,15,89.22110952080894
16,105,16,88.75573494948614
17,105,17,88.5084076213224
18,105,18,86.97128510964569
19,105,19,88.47359567219654
20,110,20,89.80739090057192
21,110,21,88.47029495011691
22,110,22,91.6890678638476
23,110,23,93.04194785776798
24,110,24,84.22170117217328
25,115,25,96.51025269320594
26,115,26,97.98697044462011
27,115,27,94.7471944313224
28,115,28,92.64840949408251
29,115,29,97.63917095511201
30,120,30,99.30931018202448
31,120,31,95.48443113237228
32,120,32,98.18574909501855
33,120,33,99.80707924850893
34,120,34,98.17981453320773
35,125,35,98.3972218910396
36,125,36,100.72748632873794
37,125,37,104.4287880256363
38,125,38,103.05948231402641
39,125,39,96.83103773778078
40,130,40,97.09355889291412
41,130,41,101.53157124489903
42,130,42,102.5957483080346
43,130,43,106.0233473661996
44,130,44,108.80008371252279
