,n_cars,Run,Avg Speed
0,50,0,80.49121399884272
1,50,1,85.45773178027277
2,50,2,87.15577543563933
3,50,3,79.90551183908917
4,50,4,86.81566567562182
5,75,5,69.35572585977175
6,75,6,69.71897660229659
7,75,7,74.53904376392477
8,75,8,74.94136364156255
9,75,9,71.41953906404197
10,100,10,60.283368837903716
11,100,11,59.0484348539951
12,100,12,59.513620280822195
13,100,13,58.67194525966663
14,100,14,60.18130540221628
15,125,15,50.496378014542834
16,125,16,47.3254906378048
17,125,17,50.0883311309406
18,125,18,51.648049355233084
19,125,19,47.995552464864495
20,150,20,42.86699515243874
21,150,21,40.51441554945121
22,150,22,40.272606504039594
23,150,23,42.761670261296
24,150,24,42.05939015902043
25,175,25,36.60064968625896
26,175,26,35.39512706826917
27,175,27,36.59797780486264
28,175,28,34.81152434845642
29,175,29,37.11758287933041
30,200,30,31.581408854632713
31,200,31,31.943692121757568
32,200,32,32.249230540326344
33,200,33,30.334494072625105
34,200,34,31.019699510024008
35,225,35,28.379341536319373
36,225,36,27.03881619945702
37,225,37,26.73707139591064
38,225,38,25.88752052693403
39,225,39,27.950523716988982
40,250,40,25.241239199120677
41,250,41,24.553277421042942
42,250,42,24.725085880757934
43,250,43,25.36539873941976
44,250,44,25.100338628229714
